Model,AUC_mean,AUC_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
DT,0.9328786094857524,0.029703525984673695,0.9121391258118947,0.07402227302017937,0.8491341991341992,0.05085474688768468,0.8766854880269515,0.03821855766630244
SVM,0.9897125493554064,0.014592852170533849,0.9626044891640866,0.04018992213000756,0.7922077922077921,0.06519428778187601,0.8669639243130899,0.039159477008933984
RF,0.9972120538191966,0.0025485589554445987,0.9406026429710639,0.05063022295092357,0.9292207792207792,0.04287736197152293,0.9336868523170281,0.034072544088375144
CNN,0.8412638551924265,0.10022124193456661,0.9070959595959597,0.07579396853146292,0.41233766233766234,0.17592822734858068,0.5413401759530793,0.1839427845758366
