,AUC,precision,recall,F1
DT,0.9955493364629412,1.0,0.9905660377358491,0.995260663507109
SVM,0.9441590683398032,0.9851851851851852,0.6273584905660378,0.7665706051873199
RF,0.9999819445698294,1.0,0.9622641509433962,0.9807692307692307
CNN,0.9895594475038368,0.9245283018867925,0.9245283018867925,0.9245283018867925
