Model,AUC_mean,AUC_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
DT,0.8717499563928135,0.04826652815582533,0.858810504716414,0.06201168034061308,0.8114718614718613,0.08045690674792136,0.8319419939803854,0.056828641009924234
SVM,0.93439972725687,0.03645409113322128,0.9483653846153846,0.0681682547448872,0.6088744588744589,0.07420202603890498,0.7373440909470322,0.0526456903216019
RF,0.9792605608677037,0.012877625223053343,0.9034001292824823,0.05692279275994802,0.6229437229437229,0.081137367639259,0.7353187644828513,0.06995768727550282
CNN,0.9389776096918954,0.023404896513503755,0.8407352941176471,0.08685126401351835,0.6703463203463202,0.060000452888354046,0.7440937777908254,0.06232942354590171
