Model,AUC_mean,AUC_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
DT,0.8713917035345606,0.03427632072304113,0.8648426314565768,0.08526094797410357,0.8162337662337661,0.03818920426051956,0.8373193709794002,0.04535482114791412
SVM,0.8910546992689851,0.05222063251339881,0.9677243589743589,0.040435979240767285,0.5244588744588745,0.08507374683108804,0.6756856897867335,0.06802954108327575
RF,0.9816853979353979,0.009781746036565897,0.9413578088578088,0.04271350926720255,0.570995670995671,0.08704851636197383,0.7062693308281544,0.06645066344348534
CNN,0.9056196184767613,0.036046052019125134,0.8173202236360131,0.1229551639041131,0.5484848484848485,0.1253775617575181,0.6487254901960784,0.11813826738191505
