Model,AUC_mean,AUC_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
DT,0.5359550964908107,0.10233095738213668,0.2610399534570015,0.08338324382129654,0.2558441558441558,0.10543947460886975,0.2553363622309258,0.09144998377292447
SVM,0.6749896730253873,0.07121981061588316,0.0,0.0,0.0,0.0,0.0,0.0
RF,0.7291665279165279,0.06598298937593901,0.2913636363636364,0.20391265752970425,0.07099567099567099,0.061012858623196074,0.11011730459556546,0.08706460696597972
CNN,0.6556349602778173,0.08033640424408298,0.25833333333333336,0.3881043674065006,0.03787878787878788,0.05944504824614485,0.0635980315980316,0.09903655897774032
