,AUC,precision,recall,F1
DT,0.9472420330414373,0.9388888888888889,0.7971698113207547,0.8622448979591837
SVM,0.9196059402365261,0.0,0.0,0.0
RF,0.990468989798682,0.9090909090909091,0.7075471698113207,0.7957559681697612
CNN,0.5652071860612079,0.3333333333333333,0.0047169811320754715,0.009302325581395349
