,AUC,precision,recall,F1
DT,1.0,1.0,1.0,1.0
SVM,0.9952378802924979,1.0,0.9339622641509434,0.9658536585365853
RF,1.0,1.0,0.9952830188679245,0.9976359338061466
CNN,0.8999999999999999,0.9158878504672897,0.46226415094339623,0.6144200626959248
