,AUC,precision,recall,F1
DT,0.9732824772050194,1.0,0.9245283018867925,0.9607843137254902
SVM,0.9202897896542385,0.8426966292134831,0.35377358490566035,0.4983388704318937
RF,0.9998239595558364,1.0,0.9528301886792453,0.9758454106280193
CNN,0.8634558093346574,0.8088235294117647,0.25943396226415094,0.39285714285714285
