Model,AUC_mean,AUC_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
DT,0.5529019888841317,0.04946972385689309,0.427085476181586,0.039444489347882625,0.38636363636363635,0.06999914329631274,0.3996139885294673,0.04106346481488339
SVM,0.8841926129426131,0.03348137466068101,0.7999206349206349,0.09116588282345592,0.29740259740259745,0.04848871351323239,0.4295086839580722,0.05109345760686043
RF,0.8443002037644896,0.04370453984436427,0.6918181818181819,0.10051337461087331,0.3019480519480519,0.0673800171815902,0.4148473972264295,0.07307198478855602
CNN,0.8460229849515564,0.06247187580789162,0.6168211527035057,0.23422464934961035,0.3203463203463203,0.19970978362665529,0.40527315072509584,0.21899556656797123
