,AUC,precision,recall,F1
DT,0.9977205019409587,1.0,0.9858490566037735,0.9928741092636579
SVM,0.9577096686828565,0.9664429530201343,0.6792452830188679,0.7977839335180056
RF,1.0,1.0,0.9952830188679245,0.9976359338061466
CNN,0.9722804008305499,0.8918918918918919,0.7783018867924528,0.8312342569269522
