Model,AUC_mean,AUC_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
DT,0.8614552510981082,0.0657715961877324,0.8686564217254753,0.08077095027497265,0.8025974025974026,0.10006369666051101,0.8298818868189259,0.07054802095118717
SVM,0.9126753207110351,0.04669441673800574,0.957282913165266,0.06616590996612148,0.5662337662337662,0.07422822425508402,0.7077979130377263,0.05833107254712309
RF,0.9670390125747268,0.015530532180921345,0.9446886446886447,0.05788751207523741,0.47705627705627707,0.10320023092646002,0.6274235918791962,0.09620578885498779
CNN,0.9210111119039691,0.025956012575428115,0.8099269955191009,0.10446261700401682,0.6424242424242423,0.1292365497566183,0.7021552871117331,0.07553390431630858
