,AUC,precision,recall,F1
DT,0.9955493364629412,1.0,0.9905660377358491,0.995260663507109
SVM,0.9278189040353886,0.9924242424242424,0.6179245283018868,0.7616279069767442
RF,1.0,1.0,0.9764150943396226,0.9880668257756563
CNN,0.9733682404983298,0.9558011049723757,0.8160377358490566,0.8804071246819338
